# Approximate/digitized g-band photometry for PSR J2241-5236
# DIGITIZED BY EYE from Figure 5 of Draghis, Romani, Filippenko, Brink,
# Zheng, Halpern & Camilo 2019, ApJ, 883, 1 (arXiv:1908.00992),
# "Multiband Optical Light Curves of Black-Widow Pulsars"
# (https://doi.org/10.3847/1538-4357/ab378b), using the actual Figure 5
# panel (LCO/SOAR/GMOS g,r,i vs. orbital phase) provided by the user.
#
# IMPORTANT: the paper does NOT publish a numeric photometry table for
# J2241-5236 (checked Table 2/3, main text, and the PDF for a machine-
# readable table -- none exists; Fig. 5 is the only place the light curve
# appears, as a plot of g/r/i magnitude vs. orbital phase).
# These values were read off the plotted points/curve by eye (fit to the
# model curve shape plus representative error bars matching what is
# visually shown) and are NOT the authors' real measurements.
# Suitable ONLY for exercising the Icarus fitting pipeline end-to-end,
# NOT for scientific analysis. Replace with the real data (contact the
# authors) before drawing any physical conclusions.
#
# Col 0: orbital phase (0-1), in the PAPER's own convention: phase 0.75 is
#        where the pulsar is at inferior conjunction (heated day side of
#        the companion faces us, maximum brightness); phase 0.25 is
#        companion inferior conjunction (night side faces us, minimum
#        brightness). This is offset by 0.25 from Icarus's own convention
#        (primary/modelled-star inferior conjunction = phase 0); see the
#        phase_shift column in data_J2241-5236.txt, which corrects for it.
# J2241-5236 g-band photometry, digitized from phase-folded light curve figure
# Columns: phase  mag  mag_err
# Note: values are approximate, extracted via pixel digitization of the plot.
# mag_err is symmetric: mean of the up/down pixel-measured error extents.
0.0116  24.3886  0.3960
0.6174  23.5407  0.2343
0.6174  23.7603  0.2343
0.6391  22.9879  0.0889
0.6663  22.7448  0.1373
0.6877  22.8681  0.0242
0.7150  22.7737  0.1293
0.7566  22.6315  0.0969
0.7617  22.7365  0.0970
0.8109  23.0062  0.1293
0.8122  22.8847  0.1293
0.8617  22.9787  0.1697
0.8712  23.1420  0.1697
0.9100  23.2192  0.1617
0.9138  23.3838  0.1616
0.9631  24.0733  0.4202
1.0034  24.1076  0.3960
1.0157  24.4818  0.3960
1.6152  23.6505  0.2343
1.6389  22.9912  0.0808
1.6656  22.7244  0.1535
1.6665  22.8574  0.1535
1.7179  22.8182  0.1212
1.7539  22.6327  0.0888
1.7663  22.7446  0.0970
1.8109  22.8686  0.1293
1.8135  23.0033  0.1293
1.8632  22.9993  0.1697
1.8688  23.1518  0.1264
1.9073  23.1975  0.1697
