# Approximate/digitized i-band photometry for PSR J2241-5236
# DIGITIZED BY EYE from Figure 5 of Draghis, Romani, Filippenko, Brink,
# Zheng, Halpern & Camilo 2019, ApJ, 883, 1 (arXiv:1908.00992),
# "Multiband Optical Light Curves of Black-Widow Pulsars"
# (https://doi.org/10.3847/1538-4357/ab378b), using the actual Figure 5
# panel (LCO/SOAR/GMOS g,r,i vs. orbital phase) provided by the user.
#
# IMPORTANT: the paper does NOT publish a numeric photometry table for
# J2241-5236 (checked Table 2/3, main text, and the PDF for a machine-
# readable table -- none exists; Fig. 5 is the only place the light curve
# appears, as a plot of g/r/i magnitude vs. orbital phase).
# These values were read off the plotted points/curve by eye (fit to the
# model curve shape plus representative error bars matching what is
# visually shown) and are NOT the authors' real measurements.
# Suitable ONLY for exercising the Icarus fitting pipeline end-to-end,
# NOT for scientific analysis. Replace with the real data (contact the
# authors) before drawing any physical conclusions.
#
# Col 0: orbital phase (0-1), in the PAPER's own convention: phase 0.75 is
#        where the pulsar is at inferior conjunction (heated day side of
#        the companion faces us, maximum brightness); phase 0.25 is
#        companion inferior conjunction (night side faces us, minimum
#        brightness). This is offset by 0.25 from Icarus's own convention
#        (primary/modelled-star inferior conjunction = phase 0); see the
#        phase_shift column in data_J2241-5236.txt, which corrects for it.
# J2241-5236 i-band photometry, digitized from phase-folded light curve figure
# Columns: phase  mag  mag_err
# Note: values are approximate, extracted via pixel digitization of the plot.
# mag_err is symmetric: mean of the up/down pixel-measured error extents.
0.3564  23.6254  0.0808
0.4458  22.7393  0.0889
0.5125  22.1892  0.0727
0.6652  21.4202  0.0566
0.7161  21.3896  0.1293
0.7496  21.2917  0.1859
0.8258  21.3837  0.0727
0.8764  21.5294  0.1051
0.8861  21.4225  0.1373
0.9092  21.6533  0.0485
0.9273  21.7811  0.1212
0.9554  21.9470  0.0727
1.3551  23.6217  0.0808
1.6534  21.4534  0.0404
1.7126  21.3802  0.1212
1.7515  21.2900  0.1535
1.8231  21.3806  0.0727
1.8773  21.5007  0.1132
1.9097  21.6568  0.1212
1.9263  21.7846  0.1212
1.9547  21.9455  0.0889
