# Approximate/digitized r-band photometry for PSR J2241-5236
# DIGITIZED BY EYE from Figure 5 of Draghis, Romani, Filippenko, Brink,
# Zheng, Halpern & Camilo 2019, ApJ, 883, 1 (arXiv:1908.00992),
# "Multiband Optical Light Curves of Black-Widow Pulsars"
# (https://doi.org/10.3847/1538-4357/ab378b), using the actual Figure 5
# panel (LCO/SOAR/GMOS g,r,i vs. orbital phase) provided by the user.
#
# IMPORTANT: the paper does NOT publish a numeric photometry table for
# J2241-5236 (checked Table 2/3, main text, and the PDF for a machine-
# readable table -- none exists; Fig. 5 is the only place the light curve
# appears, as a plot of g/r/i magnitude vs. orbital phase).
# These values were read off the plotted points/curve by eye (fit to the
# model curve shape plus representative error bars matching what is
# visually shown) and are NOT the authors' real measurements. Note the
# r-band minimum in the figure is very deep and poorly constrained (large
# error bars reaching well below mag 25.5); the values/errors here near
# phase 0.25 reflect that.
# Suitable ONLY for exercising the Icarus fitting pipeline end-to-end,
# NOT for scientific analysis. Replace with the real data (contact the
# authors) before drawing any physical conclusions.
#
# J2241-5236 r-band photometry, digitized from phase-folded light curve figure
# Columns: phase  mag  mag_err
# Note: values are approximate, extracted via pixel digitization of the plot.
# mag_err is symmetric: mean of the up/down pixel-measured error extents.
0.3020  25.0841  0.4929
0.3232  25.5293  0.0243
0.3408  25.0031  0.5495
0.4063  24.0816  0.0728
0.4529  23.4817  0.1132
0.4809  22.9994  0.0323
0.5050  22.9190  0.0646
0.6752  21.9131  0.0323
0.7979  21.7318  0.0485
0.9047  22.1293  0.0646
1.2994  25.0880  0.4929
1.3241  25.5206  0.1131
1.3425  25.0032  0.1212
1.4049  24.0714  0.0404
1.4523  23.4834  0.1051
1.4786  23.2088  0.0566
1.4927  22.9680  0.0646
1.6752  21.9212  0.0242
1.7907  21.7089  0.0404
1.9058  22.1325  0.0485
 
